type,abbr_raw,abbr_norm,full
author,a.,a.,archer
author,ab.,ab.,abdolah
author,abr.,abr.,abele
author,ac.,ac.,aciman
author,ad.,ad.,anderson
author,adi.,adi.,adiga
author,ado.,ado.,adler-olsen
author,ae.,ae.,adler
author,ag.,ag.,allgeier
author,ai.,ai.,ali
author,ak.,ak.,Atkinson
author,al.,al.,allende
author,alt.,alt.,alten
author,alv.,alv.,alvtegen
author,am.,am.,altmann
author,an.,an.,andrews
author,ao.,ao.,arnold
author,as.,as.,armstrong
author,at.,at.,attenborough
author,au.,au.,augustin
author,az.,az.,azadi
author,aw.,aw.,abuhlawa
author,azz.,azz.,azzedine
author,b.,b.,brown
author,ba.,ba.,baldacci
author,bai.,bai.,baigent
author,bak.,bak.,baker
author,bam.,bam.,bachman
author,bar.,bar.,barber
author,bb.,bb.,blob
author,bcb.,bcb.,beckenbauer
author,bd.,bd.,benard
author,bau.,bau.,bauer
author,bc.,bc.,buck
author,be.,be.,bergius
author,bg.,bg.,bagley
author,bh.,bh.,buchheim
author,bi.,bi.,bickmore
author,bis.,bis.,bischoff
author,bk.,bk.,burke
author,bl.,bl.,blyton
author,blc.,blc.,bluechel
author,bld.,bld.,blasi, de
author,blk.,blk.,block
author,bo.,bo.,"brian, o'"
author,bos.,bos.,bosse
author,bom.,bom.,bowman
author,bra.,bra.,braem
author,br.,br.,brecht
author,bre.,bre.,brendt
author,bro.,bro.,bromfield
author,bru.,bru.,bruckner
author,bry.,bry.,bryson
author,brg.,brg.,berger
author,bu.,bu.,burk
author,but.,but.,bulwer-lytton
author,buz.,buz.,buzan
author,bs.,bs.,buschkowsky
author,by.,by.,binchy
author,bx.,bx.,blixen
author,bz.,bz.,bednarz
author,c.,c.,crichton
author,ca.,ca.,caldwell
author,cag.,cag.,carrington
author,car.,car.,carpenter
author,cas.,cas.,casanova
author,cc.,cc.,cicero
author,cd.,cd.,cesco; de
author,cer.,cer.,ceram
author,ci.,ci.,christie
author,ce.,ce.,cheng
author,cd.,cd.,conan doyle
author,cg.,cg.,carnegie
author,ch.,ch.,charriere
author,chg.,chg.,chang
author,cl.,cl.,collins
