id,author,publisher,titlekeyword,author_raw,publisher_raw
cd3f6564-bf2b-47f6-98bf-2715dab9f358,bach,Unknown,jonathan,bach,Unknown
119d3e56-dc3c-4e2f-8241-bd2fd4d3ca9d,marks,homegrow publishing,mr,marks,homegrow publishing
f7a3dd39-b0dd-492a-897d-c5b7c8e6efca,moravia,ke.,noia,mo.,ke.
6f84d85c-7874-4846-9592-138beeb33e56,stv.,dt.,quintus,stv.,dt.
cfa52da5-86d0-4e6a-88bb-915a264225cd,mosh.,universitas,mama,mosh.,universitas
26c65f75-5db1-4fd0-a166-77667714c17e,dor,dt.,reisen,dor,dt.
81788eca-21de-4457-873a-3aa661c3ebd2,eschbach,arena,gabe,e.,ar.
9c6afed4-849d-4460-91a2-215dbb8cc651,catton,bb.,gestirne,catton,bb.
34515ea6-a9eb-440d-abfc-150548a0b06c,conan doyle,hoffman und campe,feuerfrau,cd.,hc.
2b56d06a-fc59-44a0-aa68-6c7377572048,gifford,weltbild,aquila,gifford,w.
3b228cf3-52c0-4312-8db2-96a5fd907ef8,bank,Unknown,schlafen,bank,Unknown
dd374f07-630c-4d3d-87c5-b7bb92819a76,"gersdorff, v.",i.,goethes,"gersdorff, v.",i.
32d5f0d6-26af-446b-a4de-5400be3c697a,mccrohan,lp.,peking,mccrohan,lp.
21b1a712-40e5-4fe1-a665-d05a86de7181,tietze,ft.,essen,tietze,ft.
5cac46fa-fb46-4a78-bcdf-68e402bd1ed0,nunn,dumont,legenden,nunn,du.
7796fe60-4f0b-4c59-9efb-876e4b7fffe6,sykes,fischer,klick,sykes,f.
d1320be3-890d-4099-91c2-2be916379dfa,bonner,bastei luebbe,generation,bonner,bl.
2d3649f8-4424-4748-9df1-096fd75917a6,facaros,cadogan,western,facaros,cadogan
d72a372f-2a5b-4099-afd7-8d32bf891a0e,ironside,buch und medien vertrieb,gletschergrab,id.,rm.
a123c015-e48a-4aaf-a662-257d2c3b6221,jaud,sr.,resturlaub,ja.,sr.
8af7d0a1-0a23-4d4c-bfef-c776c1d9f208,frank,bertelsmann,romanen,fri.,b.
92fd3133-8ee5-40f6-8baa-a18fa1376ebd,capus,bb.,frage,capus,bb.
d4cdb798-32c7-4f8a-96aa-83daeb5f9267,roth,dtv,sohn,roth,dtv
dbd7991b-a9a5-4fca-9f0b-168d2c52c9e1,mund.,pattloch,engel,mund.,pattloch
7e7b96a4-c636-49e9-a940-ca53aff9bb04,rsm.,goldmann,anonymous,rsm.,g.
c3b7a7e6-67a6-4da1-a3a3-b31ddf79f639,freeman,or.,javascript,freeman,or.
8d1bbcc3-bb3b-45bb-9493-c130707f210b,archer,Unknown,careful,a.,Unknown
ebaf63ee-bda5-4317-966c-3cd81af706c1,archer,Unknown,farbe,a.,Unknown
a4351295-fa6c-4007-99e4-43ac5acd7a06,archer,Unknown,daughter,a.,Unknown
6cad4f3d-9cb4-4030-88f3-519a93ce1bcd,adler,Unknown,gefangen,ae.,Unknown
a6363c88-41e8-4fe6-857e-5c7f4ef3053b,kruppa,goldmann,kaito,kruppa,g.
a343289b-668f-4390-a30e-4447f9a0c717,guenter,ullstein,schwarze,guenter,u.
76049dd3-f44b-4330-abda-6c63ae117a6e,speer,ullstein,spandauer,speer,u.
68d695ce-7a9d-4245-bb7d-2d5385f183ce,mod.,wb.,giulia,mod.,wb.
0b0a5e15-5968-4eb4-9caf-8eb660fd8ff1,cann,ct.,frei,cann,ct.
28de42a5-da11-45fa-bb98-e547a5e1e7ea,we.,deutsch buchgemeinschaft,traumdeutung,we.,dbg.
42659094-1808-4fad-bfb9-7614919ecee3,lm.,bertelsmann,hexe,lm.,b.
24ede7e5-16e7-45ca-8690-98c16c866c3e,atwood,Unknown,report,atwood,Unknown
d1c30ec4-6919-48e9-b32b-4339722ceed0,karig,blumenbar,lieben,karig,blumenbar
4a18c225-0b29-46ff-b645-376373a8f7bd,pri.,sd.,schwarze,pri.,sd.
461f6204-2840-4092-9bd7-9cc3fa4454a5,matthiesen,bertelsmann,variante,mt.,b.
b9a0b4ef-675f-486c-a3e2-4ca7729d7e5a,benjamin,Unknown,brille,benjamin,Unknown
e3b792a4-ebee-4dda-9906-4cb9fc043cdc,na.,blanvalet,stumme,na.,bv.
6aedf94a-9664-40f0-936c-2be52fe08564,deaver,knaur,anwaelte,dv.,k.
ee7ac3c4-5bf7-4cf5-b81c-d75efaf37fcd,meh.,mandarin,raj,meh.,mandarin
6aafa864-f1a6-4af7-96ae-28b38549b1f3,gleeson,btb,smaragdcollier,gleeson,btb
dccb9ed2-960e-42c0-ac5a-67a0088c2fc6,guild,sw.,assyrer,guild,sw.
ca1fa92d-28b6-4ab5-8971-cdb111c21602,harris,heyne,underground,h.,h.
f51cac86-e9dd-4622-9cca-59eb0217d581,armstrong,a u u,bike,as.,a u u
811a2df3-ed0d-49bc-b8d7-df8c5446a9c5,chirbes,diana,marsch,chirbes,da.
a61a96d6-f059-48b5-91f0-3f776d7a7204,guareschi,bertelsmann,peppone,gu.,b.
4c801804-bc0a-4f86-aae9-26322e0e1c11,james,knaur,wahrheit,james,k.
98745514-b6c5-4124-a6ee-7920547d7bca,abedi,arena,lucian,abedi,ar.
5dc45e6e-4bb5-4559-95bb-0d761a69bbc8,booth,hr.,kill,booth,hr.
8f9b6fe3-dd64-4382-88d7-fa6d467fbf0d,burk,schneekluth,wunsch,bu.,sk.
5b4306d3-40dc-4eda-b75a-a70e11556558,konsalik,bastei luebbe,blutmafia,k.,bl.
6336851f-5317-404e-ae76-64c336b841fe,ishiguro,heyne,nacht,is.,h.
7eea9bfb-d598-4cfb-af4c-36643e823a22,brown,Unknown,meteor,b.,Unknown
a1c378bf-7e06-4db9-8172-1dccdcb4f2a9,blyton,Unknown,uebertrifft,bl.,Unknown
a451cac5-d379-49dd-8f6b-8f403259db24,boell,Unknown,verlorene,boell,Unknown
928cc763-fdfa-49ff-b226-7ff271b74119,sheldon,bertelsmann,dynastie,so.,b.
63a01954-542c-4384-8fe9-9c3f3d8eb12c,grisham,heyne,gerechte,g.,h.
7cb94dab-7645-4d59-a485-0cca2b4aee08,wickert,piper,nuetzliche,wi.,p.
fcf81bbc-88af-4938-ad2c-4b0c033d941d,konzelmann,heyne,kalifen,ko.,h.
311bc8da-4219-4b5c-b36c-6fcdf697d40e,martin,arena,lionheart,mrt.,ar.
04da2517-9c59-4143-a516-abc62271d772,shem,knaur,house,shem,k.
b726b12f-c517-446c-9538-fb8e1c82c1cc,gordon-davis,bertelsmann,jaeger,go.,b.
73278300-8c18-425d-9a89-6e3381ab0aea,nie.,goldmann,morgenroete,nie.,g.
6d8c07f0-f550-4b8c-b081-4c48931b0c83,sagan,ullstein,brahms,sagan,u.
6b42e2fc-eb9b-4e07-9487-64adfc0e4b82,kinkel,blanvalet,rochelle,kk.,bv.
8de3b0f0-4a0a-4cf5-835a-d90807598408,leon,diogenes,venedig,le.,dg.
a9793400-f05f-4b01-aabe-b90152dd07e3,bf.,Unknown,bewahrt,bf.,Unknown
1c67a7c5-097b-4ed1-bf4b-dc54c37b97a0,bf.,Unknown,geheimnis,bf.,Unknown
864ce4d4-ad96-407d-b238-414c7313aaba,bover,Unknown,jahrhundert,bover,Unknown
dfbdec28-82e0-4456-a545-5f944d012536,sueskindtorm,ullstein,geld,su.,u.
3482b52f-02d9-4257-837c-9d27c5f43e6c,schroeder,rk.,myanmar,scr.,rk.
5e7c4fed-5838-47b0-9a4f-e1609db63190,ullman,kelter,tonto,ullman,kelter
0736e419-5347-49d7-b5eb-eb044ca02827,uris,ka.,exodus,ur.,ka.
176193de-9647-47f6-bfa5-d75c654db7e3,zimmer-bradley,bastei luebbe,matriachen,z.,bl.
e41dae98-b545-4fe0-baf4-4285d638a222,wolf,knaur,starke,wolf,k.
6869ed5c-64f0-4801-be86-52b401abab91,bartos hoeppner,bastei luebbe,kutschum,bartos hoeppner,bl.
b6df19a1-1883-44b4-8983-74927be6a5fd,crichton,Unknown,next,c.,Unknown
b89811dc-a5ed-4c22-b1e6-92f7b154e62a,bamm,knaur,alexander,bamm,k.
3104cf98-b844-4039-ae61-e0ab352e81ec,meyer,helmut lingen,goettin,my.,helmut lingen
c3ea267d-4ba3-474b-8d5b-0d80828ef7ff,fischer,hu.,fortgeschrittene,fischer,hu.
13c4799f-e18f-4fcd-893d-14f99207815a,wickham,goldmann,heiratschwindlerin,wickham,g.
42848d52-a85d-4378-af46-3c5bee6ec3f4,jahnn,dtv,holzschiff,jahnn,dtv
f8b8efca-5e94-4a2a-be41-eae5666ee03d,brecht,Unknown,buch,br.,Unknown
133bfb4e-b4cb-427e-9b8c-2d055d527312,archer,hp.,eleventh,a.,hp.
85789e4f-8b0f-4a86-bdd0-48a5e6cf68d0,unser,guenter olzog,uno,unser,guenter olzog
8fd3d5da-41be-4949-b017-ff960fcc41e1,konsalik,en.,geheimnis,k.,en.
d957b373-b0a5-47f8-9f42-b64c7c123307,knittel,heyne,hakim,knittel,h.
dab6a98e-5b61-4e7e-bfe2-c07002406a75,schweighoefer,piper,heineken,schweighoefer,p.
3755e132-0ea1-4cc6-8fc4-108e83a00d30,"cube, von",piper,fordern,"cube, von",p.
bb48ab0e-f348-48c7-896e-07d8cef5ae0d,korschunow,kiepenheuer & witsch,fontamara,kw.,kw.
9f07d475-317e-4807-a421-69ff9ccef985,hulme,fischer,unter,hulme,f.
9a4234b9-3e5a-4025-a4f4-dd65afde6b5b,pietzner,freies geistesleben,camphill,pietzner,freies geistesleben
1568fe9a-ca72-4884-9dc4-3ae6507b7daf,heitz,knaur,ritus,heitz,k.
c1a11d6a-ceeb-4978-adb4-3ec37c32af6a,castonier,Unknown,mill-farm,castonier,Unknown
9fd4fbaf-4b47-4b7c-bd09-bbb803ff7bd7,holt,knaur,lady,ht.,k.
9d25132d-89c7-467c-8097-aa6686a2a115,krueger,bertelsmann,schallmauer,ku.,b.
2758b74e-981a-4739-a6f7-56877b44c909,hyde,knaur,red,hyde,k.
894ccacc-788d-4bb5-8ef0-66481d8f99b8,seethaler,kein u aber,weiteren,seethaler,kein u aber
e2edc8cf-5d09-4c39-923b-5c98b5842a27,crichton,Unknown,gold,c.,Unknown
5d137ce8-bf46-46e5-bbc4-18f74acf7ca0,brown,blanvalet,gefaehrliche,b.,bv.
d48f2b8c-fe87-4566-a8f9-fa2e2bad5800,holloway,herder,traumfuehrer,holloway,he.
8f274242-3f9f-4386-bb49-e4064202580e,stockett,btb,gute,stockett,btb
707e3ec5-4ac2-4b04-8049-318c345c27df,pearson,RM,working,pearson,RM
0c3307b5-4199-4240-9289-471affaeb686,hansen,penguin,mittagsstunde,hansen,penguin
07d26699-babe-48a5-9524-9fa6582802e0,potocki,insel,handschrift,potocki,insel
d0dc564b-28f1-423b-9114-5e103965291c,charriere,Unknown,papillon,ch.,Unknown
bfd3adf2-e2b7-467e-b041-feeb5259a7d7,elegant,Unknown,dynastie,elegant,Unknown
e9fc95ae-1ed0-4e5d-994d-c664493acab7,gobineau,bastei luebbe,stephanie,gobineau,bl.
660e18b8-eb4e-45c0-892e-0569177056a2,nh.,ernst kabel,abenteuer,nh.,ernst kabel
12072e1c-b428-43ca-9836-680a0e0a5161,thirwell,fischer,strategie,thirwell,f.
09a92a1a-db92-4358-beb6-e0fbb29044e1,clarke,black swan,merde,clarke,black swan
3137e8b3-cd4b-42ad-a24b-7b951d75401d,gertz,deutsche verlagsanstalt,spiel,gertz,dv.
ef265a53-6084-4f91-bece-24b375ae505d,ironside,goldmann,nein,ironside,g.
7a760fb4-2a52-4f75-8e97-9a23ed12d7d0,alsanea,goldmann,riad,alsanea,g.
7188a224-46bd-42ff-824d-bb7fb997b656,archer,heyne,schicksal,a.,h.
afdb6ca1-f912-4a7d-84dd-5c04c9bb5a2a,matussek,fischer,deutschen,matussek,f.
f948ecd0-6fbe-4b3c-9bb1-34f3f56ac9ee,hagena,kiepenheuer & witsch,geschmack,hagena,kw.
0b63bee8-7359-4e3a-9b15-df7051d923b8,schmitz,rororo,schneller,schmitz,r.
20d8a58f-a014-4fe5-892b-c78606d1ec76,bode,fischer,essensfaelscher,bode,f.
6d203315-3c87-4923-899b-80aa8c45ef12,hoer-bogacz,ig.,gehen,hoer-bogacz,ig.
83fa6b62-2b5c-439b-847b-964647fdd326,alten,weltbild,goliath,alt.,w.
2dc04aee-e617-4818-930e-e2c7066ba57a,zargaran,ra.,perser,zargaran,ra.
