type,abbr_raw,abbr_norm,full
publisher,a.,a.,aufbau
publisher,ar.,ar.,arena
publisher,b.,b.,bertelsmann
publisher,bd.,bd.,buchgemeinschaft donauland
publisher,be.,be.,beck
publisher,bg.,bg.,beltz & gelberg
publisher,bl.,bl.,bastei luebbe
publisher,bm.,bm.,bechtermuenz
publisher,br.,br.,berlin
publisher,bu.,bu.,buechergilde gutenberg
publisher,bv.,bv.,blanvalet
publisher,c.,c.,carlsen
publisher,d.,d.,deutscher buecherbund
publisher,da.,da.,diana
publisher,dbg.,dbg.,deutsch buchgemeinschaft
publisher,dg.,dg.,diogenes
publisher,dk.,dk.,droemer knaur
publisher,dr.,dr.,droemer
publisher,du.,du.,dumont
publisher,dv.,dv.,deutsche verlagsanstalt
publisher,e.,e.,econ
publisher,eb.,eb.,europ bildungsgem.
publisher,ev.,ev.,europ verlagsanstalt
publisher,f.,f.,fischer
publisher,g.,g.,goldmann
publisher,gl.,gl.,gustav luebbe
publisher,gu.,gu.,gräfe u unzer
publisher,h.,h.,heyne
publisher,ha.,ha.,carl hanser
publisher,hc.,hc.,hoffman und campe
publisher,he.,he.,herder
publisher,hs.,hs.,hestia
publisher,k.,k.,knaur
publisher,ki.,ki.,kiwi
publisher,kw.,kw.,kiepenheuer & witsch
publisher,l.,l.,lingen
publisher,ls.,ls.,list
publisher,lu.,lu.,luebbe
publisher,m.,m.,moewig
publisher,ms.,ms.,marion von schroeder
publisher,n.,n.,naumann & goebel
publisher,p.,p.,piper
publisher,pe.,pe.,penguin
publisher,r.,r.,rororo
publisher,rh.,rh.,random house
publisher,rm.,rm.,buch und medien vertrieb
publisher,rs.,rs.,rosenheimer
publisher,rv.,rv.,ravensburger
publisher,rw.,rw.,rowohlt
publisher,s.,s.,suhrkamp
publisher,scz.,scz.,scherz
publisher,sk.,sk.,schneekluth
publisher,sn.,sn.,schneider
publisher,ss.,ss.,schwarzkopf & schwarzkopf
publisher,sv.,sv.,schweizer verlagshaus
publisher,sz.,sz.,sueddeutsche zeitung
publisher,t.,t.,thienemann
publisher,u.,u.,ullstein
publisher,ub.,ub.,ueberreuter
publisher,w.,w.,weltbild
publisher,wu.,wu.,wunderlich
publisher,z.,z.,zsolnay
